timestamp, utilization.gpu [%], memory.used [MiB]
2026/08/23 16:23:36.155, 0 %, 1 MiB
2026/08/23 16:23:46.179, 0 %, 4 MiB
2026/08/23 16:23:56.183, 0 %, 4 MiB
2026/08/23 16:24:06.185, 0 %, 4 MiB
2026/08/23 16:24:16.187, 0 %, 1032 MiB
2026/08/23 16:24:26.190, 2 %, 28138 MiB
2026/08/23 16:24:36.195, 12 %, 34392 MiB
2026/08/23 16:24:46.199, 19 %, 40636 MiB
2026/08/23 16:24:56.207, 0 %, 1082 MiB
2026/08/23 16:25:06.211, 0 %, 1082 MiB
2026/08/23 16:25:16.214, 0 %, 1082 MiB
2026/08/23 16:25:26.216, 0 %, 1082 MiB
2026/08/23 16:25:36.216, 0 %, 1082 MiB
2026/08/23 16:25:46.218, 0 %, 1082 MiB
2026/08/23 16:25:56.219, 0 %, 1082 MiB
2026/08/23 16:26:06.222, 0 %, 1082 MiB
2026/08/23 16:26:16.225, 0 %, 1082 MiB
2026/08/23 16:26:26.226, 0 %, 1082 MiB
2026/08/23 16:26:36.228, 0 %, 1082 MiB
2026/08/23 16:26:46.230, 0 %, 1082 MiB
2026/08/23 16:26:56.233, 0 %, 1082 MiB
2026/08/23 16:27:06.234, 0 %, 1082 MiB
2026/08/23 16:27:16.236, 0 %, 1082 MiB
2026/08/23 16:27:26.238, 0 %, 1082 MiB
2026/08/23 16:27:36.239, 0 %, 1082 MiB
2026/08/23 16:27:46.242, 0 %, 1082 MiB
2026/08/23 16:27:56.243, 0 %, 1082 MiB
2026/08/23 16:28:06.244, 0 %, 1082 MiB
2026/08/23 16:28:16.245, 0 %, 1082 MiB
2026/08/23 16:28:26.248, 0 %, 1082 MiB
2026/08/23 16:28:36.250, 0 %, 1082 MiB
2026/08/23 16:28:46.252, 0 %, 1082 MiB
2026/08/23 16:28:56.256, 0 %, 1082 MiB
2026/08/23 16:29:06.258, 0 %, 1082 MiB
2026/08/23 16:29:16.260, 0 %, 1082 MiB
2026/08/23 16:29:26.268, 0 %, 1082 MiB
2026/08/23 16:29:36.270, 0 %, 1082 MiB
2026/08/23 16:29:46.270, 0 %, 1082 MiB
2026/08/23 16:29:56.271, 0 %, 1082 MiB
2026/08/23 16:30:06.271, 0 %, 1082 MiB
2026/08/23 16:30:16.274, 0 %, 1082 MiB
2026/08/23 16:30:26.278, 0 %, 1082 MiB
2026/08/23 16:30:36.289, 0 %, 1082 MiB
2026/08/23 16:30:46.290, 0 %, 1082 MiB
2026/08/23 16:30:56.294, 0 %, 1082 MiB
2026/08/23 16:31:06.294, 0 %, 1082 MiB
2026/08/23 16:31:16.298, 0 %, 1082 MiB
2026/08/23 16:31:26.298, 0 %, 1082 MiB
2026/08/23 16:31:36.302, 0 %, 1082 MiB
2026/08/23 16:31:46.305, 0 %, 1082 MiB
2026/08/23 16:31:56.306, 0 %, 1082 MiB
2026/08/23 16:32:06.306, 0 %, 1082 MiB
2026/08/23 16:32:16.327, 0 %, 1082 MiB
2026/08/23 16:32:26.330, 0 %, 1082 MiB
2026/08/23 16:32:36.333, 0 %, 1082 MiB
2026/08/23 16:32:46.336, 0 %, 1082 MiB
2026/08/23 16:32:56.338, 0 %, 1082 MiB
2026/08/23 16:33:06.342, 0 %, 1082 MiB
2026/08/23 16:33:16.343, 0 %, 1082 MiB
2026/08/23 16:33:26.344, 0 %, 1082 MiB
2026/08/23 16:33:36.347, 0 %, 1082 MiB
2026/08/23 16:33:46.349, 0 %, 1082 MiB
2026/08/23 16:33:56.349, 0 %, 1082 MiB
2026/08/23 16:34:06.350, 0 %, 1082 MiB
2026/08/23 16:34:16.351, 0 %, 1082 MiB
2026/08/23 16:34:26.353, 0 %, 1082 MiB
2026/08/23 16:34:36.354, 0 %, 1082 MiB
2026/08/23 16:34:46.356, 0 %, 1082 MiB
2026/08/23 16:34:56.358, 0 %, 1082 MiB
2026/08/23 16:35:06.358, 0 %, 1082 MiB
2026/08/23 16:35:16.361, 0 %, 1082 MiB
2026/08/23 16:35:26.362, 0 %, 1082 MiB
2026/08/23 16:35:36.364, 0 %, 1082 MiB
2026/08/23 16:35:46.365, 0 %, 1082 MiB
2026/08/23 16:35:56.372, 0 %, 1082 MiB
2026/08/23 16:36:06.373, 0 %, 1082 MiB
2026/08/23 16:36:16.376, 0 %, 1082 MiB
2026/08/23 16:36:26.380, 0 %, 1082 MiB
2026/08/23 16:36:36.383, 0 %, 1082 MiB
2026/08/23 16:36:46.383, 0 %, 1082 MiB
2026/08/23 16:36:56.385, 0 %, 1082 MiB
2026/08/23 16:37:06.387, 0 %, 1082 MiB
2026/08/23 16:37:16.392, 0 %, 1082 MiB
2026/08/23 16:37:26.398, 0 %, 1082 MiB
2026/08/23 16:37:36.402, 0 %, 1082 MiB
2026/08/23 16:37:46.403, 0 %, 1082 MiB
2026/08/23 16:37:56.405, 0 %, 1082 MiB
2026/08/23 16:38:06.406, 0 %, 1082 MiB
2026/08/23 16:38:16.406, 0 %, 1082 MiB
2026/08/23 16:38:26.409, 0 %, 1082 MiB
2026/08/23 16:38:36.410, 0 %, 1082 MiB
2026/08/23 16:38:46.413, 0 %, 1082 MiB
2026/08/23 16:38:56.418, 0 %, 1082 MiB
2026/08/23 16:39:06.419, 0 %, 1082 MiB
2026/08/23 16:39:16.419, 0 %, 1082 MiB
2026/08/23 16:39:26.420, 0 %, 1082 MiB
2026/08/23 16:39:36.423, 0 %, 1082 MiB
2026/08/23 16:39:46.429, 0 %, 1082 MiB
2026/08/23 16:39:56.429, 0 %, 1082 MiB
2026/08/23 16:40:06.430, 0 %, 1082 MiB
2026/08/23 16:40:16.431, 0 %, 1082 MiB
2026/08/23 16:40:26.433, 0 %, 1082 MiB
2026/08/23 16:40:36.435, 0 %, 1082 MiB
2026/08/23 16:40:46.435, 0 %, 1082 MiB
2026/08/23 16:40:56.437, 0 %, 1082 MiB
2026/08/23 16:41:06.438, 0 %, 1082 MiB
2026/08/23 16:41:16.443, 0 %, 1082 MiB
2026/08/23 16:41:26.445, 0 %, 1082 MiB
2026/08/23 16:41:36.446, 0 %, 1082 MiB
2026/08/23 16:41:46.448, 0 %, 1082 MiB
2026/08/23 16:41:56.451, 0 %, 1082 MiB
2026/08/23 16:42:06.454, 0 %, 824 MiB
