timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/08/23 02:14:45.882, 0 %, 0 %, 1 MiB
2026/08/23 02:14:55.883, 0 %, 0 %, 4 MiB
2026/08/23 02:15:05.884, 0 %, 0 %, 4 MiB
2026/08/23 02:15:15.885, 0 %, 0 %, 1044 MiB
2026/08/23 02:15:25.885, 22 %, 7 %, 3680 MiB
2026/08/23 02:15:35.886, 0 %, 0 %, 3682 MiB
2026/08/23 02:15:45.887, 19 %, 6 %, 3994 MiB
2026/08/23 02:15:55.890, 19 %, 6 %, 3994 MiB
2026/08/23 02:16:05.897, 19 %, 6 %, 3994 MiB
2026/08/23 02:16:15.898, 18 %, 6 %, 3994 MiB
2026/08/23 02:16:25.900, 19 %, 6 %, 3994 MiB
2026/08/23 02:16:35.900, 19 %, 6 %, 3994 MiB
2026/08/23 02:16:45.901, 12 %, 4 %, 3994 MiB
2026/08/23 02:16:55.903, 13 %, 4 %, 3994 MiB
2026/08/23 02:17:05.907, 0 %, 0 %, 3994 MiB
2026/08/23 02:17:15.908, 21 %, 7 %, 3994 MiB
2026/08/23 02:17:25.908, 18 %, 6 %, 3994 MiB
2026/08/23 02:17:35.909, 19 %, 6 %, 3994 MiB
2026/08/23 02:17:45.910, 0 %, 0 %, 3994 MiB
2026/08/23 02:17:55.910, 22 %, 7 %, 3994 MiB
2026/08/23 02:18:05.916, 0 %, 0 %, 3994 MiB
2026/08/23 02:18:15.917, 20 %, 6 %, 3994 MiB
2026/08/23 02:18:25.917, 0 %, 0 %, 3994 MiB
2026/08/23 02:18:35.918, 11 %, 3 %, 3994 MiB
2026/08/23 02:18:45.925, 17 %, 5 %, 3994 MiB
2026/08/23 02:18:55.930, 0 %, 0 %, 3994 MiB
2026/08/23 02:19:05.932, 0 %, 0 %, 4386 MiB
2026/08/23 02:19:15.933, 0 %, 0 %, 4386 MiB
2026/08/23 02:19:25.939, 12 %, 3 %, 4386 MiB
2026/08/23 02:19:35.941, 0 %, 0 %, 4782 MiB
2026/08/23 02:19:45.953, 19 %, 6 %, 4782 MiB
2026/08/23 02:19:55.953, 0 %, 0 %, 4782 MiB
2026/08/23 02:20:05.954, 21 %, 7 %, 4782 MiB
2026/08/23 02:20:15.955, 22 %, 7 %, 4784 MiB
2026/08/23 02:20:25.956, 0 %, 0 %, 4784 MiB
2026/08/23 02:20:35.956, 23 %, 7 %, 4784 MiB
2026/08/23 02:20:45.957, 21 %, 6 %, 4784 MiB
2026/08/23 02:20:55.958, 19 %, 6 %, 4784 MiB
2026/08/23 02:21:05.961, 22 %, 7 %, 4784 MiB
2026/08/23 02:21:15.962, 0 %, 0 %, 4784 MiB
2026/08/23 02:21:25.967, 13 %, 4 %, 4784 MiB
2026/08/23 02:21:35.970, 12 %, 4 %, 4784 MiB
2026/08/23 02:21:45.971, 0 %, 0 %, 4784 MiB
2026/08/23 02:21:55.978, 20 %, 7 %, 4784 MiB
2026/08/23 02:22:05.980, 0 %, 0 %, 4784 MiB
2026/08/23 02:22:15.980, 19 %, 6 %, 4784 MiB
2026/08/23 02:22:25.981, 19 %, 6 %, 4784 MiB
2026/08/23 02:22:35.982, 0 %, 0 %, 4784 MiB
