timestamp, utilization.gpu [%], memory.used [MiB]
2026/08/23 21:56:04.660, 0 %, 1 MiB
2026/08/23 21:56:14.677, 0 %, 1 MiB
2026/08/23 21:56:24.680, 0 %, 4 MiB
2026/08/23 21:56:34.683, 0 %, 4 MiB
2026/08/23 21:56:44.684, 0 %, 4 MiB
2026/08/23 21:56:54.685, 0 %, 1044 MiB
2026/08/23 21:57:04.686, 0 %, 1044 MiB
2026/08/23 21:57:14.691, 22 %, 3680 MiB
2026/08/23 21:57:24.695, 20 %, 3994 MiB
2026/08/23 21:57:34.697, 19 %, 3994 MiB
2026/08/23 21:57:44.698, 23 %, 3994 MiB
2026/08/23 21:57:54.701, 20 %, 3994 MiB
2026/08/23 21:58:04.701, 20 %, 3994 MiB
2026/08/23 21:58:14.704, 12 %, 3994 MiB
2026/08/23 21:58:24.711, 12 %, 3994 MiB
2026/08/23 21:58:34.716, 15 %, 3994 MiB
2026/08/23 21:58:44.717, 21 %, 3994 MiB
2026/08/23 21:58:54.719, 20 %, 3994 MiB
2026/08/23 21:59:04.722, 7 %, 4386 MiB
2026/08/23 21:59:14.725, 20 %, 4784 MiB
2026/08/23 21:59:24.727, 22 %, 4784 MiB
2026/08/23 21:59:34.729, 20 %, 4784 MiB
2026/08/23 21:59:44.730, 18 %, 4784 MiB
2026/08/23 21:59:54.732, 23 %, 4784 MiB
2026/08/23 22:00:04.734, 13 %, 4784 MiB
2026/08/23 22:00:14.740, 14 %, 4784 MiB
2026/08/23 22:00:24.743, 0 %, 4784 MiB
2026/08/23 22:00:34.743, 18 %, 4784 MiB
2026/08/23 22:00:44.744, 18 %, 4784 MiB
2026/08/23 22:00:54.745, 21 %, 4784 MiB
2026/08/23 22:01:04.747, 0 %, 4784 MiB
2026/08/23 22:01:14.750, 12 %, 4784 MiB
2026/08/23 22:01:24.752, 18 %, 4784 MiB
2026/08/23 22:01:34.754, 0 %, 4784 MiB
2026/08/23 22:01:44.755, 19 %, 4784 MiB
2026/08/23 22:01:54.758, 15 %, 4784 MiB
2026/08/23 22:02:04.759, 13 %, 4784 MiB
2026/08/23 22:02:14.763, 13 %, 4784 MiB
2026/08/23 22:02:24.772, 19 %, 4784 MiB
2026/08/23 22:02:34.773, 18 %, 4784 MiB
2026/08/23 22:02:44.777, 22 %, 4784 MiB
2026/08/23 22:02:54.778, 0 %, 4784 MiB
2026/08/23 22:03:04.780, 20 %, 4784 MiB
2026/08/23 22:03:14.781, 19 %, 4784 MiB
2026/08/23 22:03:24.783, 0 %, 4784 MiB
2026/08/23 22:03:34.784, 0 %, 4784 MiB
2026/08/23 22:03:44.785, 0 %, 1 MiB
2026/08/23 22:03:54.786, 0 %, 1 MiB
2026/08/23 22:04:04.786, 0 %, 4 MiB
2026/08/23 22:04:14.788, 0 %, 4 MiB
2026/08/23 22:04:24.790, 0 %, 998 MiB
2026/08/23 22:04:34.792, 0 %, 1044 MiB
2026/08/23 22:04:44.793, 21 %, 3678 MiB
2026/08/23 22:04:54.794, 22 %, 3994 MiB
2026/08/23 22:05:04.796, 19 %, 3994 MiB
2026/08/23 22:05:14.797, 19 %, 3994 MiB
2026/08/23 22:05:24.798, 20 %, 3994 MiB
2026/08/23 22:05:34.800, 19 %, 3994 MiB
2026/08/23 22:05:44.802, 14 %, 3994 MiB
2026/08/23 22:05:54.805, 15 %, 3994 MiB
2026/08/23 22:06:04.807, 0 %, 3994 MiB
2026/08/23 22:06:14.808, 20 %, 3994 MiB
2026/08/23 22:06:24.811, 22 %, 3994 MiB
2026/08/23 22:06:34.812, 20 %, 3994 MiB
2026/08/23 22:06:44.816, 22 %, 3994 MiB
2026/08/23 22:06:54.817, 21 %, 3994 MiB
2026/08/23 22:07:04.820, 19 %, 3994 MiB
2026/08/23 22:07:14.821, 0 %, 3994 MiB
2026/08/23 22:07:24.824, 12 %, 3994 MiB
2026/08/23 22:07:34.827, 15 %, 3994 MiB
2026/08/23 22:07:44.827, 19 %, 3994 MiB
2026/08/23 22:07:54.831, 18 %, 3994 MiB
2026/08/23 22:08:04.836, 20 %, 3994 MiB
2026/08/23 22:08:14.836, 18 %, 3994 MiB
2026/08/23 22:08:24.840, 18 %, 3994 MiB
2026/08/23 22:08:34.845, 19 %, 3994 MiB
2026/08/23 22:08:44.848, 19 %, 3994 MiB
2026/08/23 22:08:54.850, 13 %, 3994 MiB
2026/08/23 22:09:04.855, 9 %, 3994 MiB
2026/08/23 22:09:14.859, 13 %, 3994 MiB
2026/08/23 22:09:24.860, 18 %, 3994 MiB
2026/08/23 22:09:34.872, 16 %, 3994 MiB
2026/08/23 22:09:44.873, 22 %, 3994 MiB
2026/08/23 22:09:54.875, 18 %, 3994 MiB
2026/08/23 22:10:04.879, 17 %, 3994 MiB
2026/08/23 22:10:14.881, 16 %, 3994 MiB
